country,tert_b_grad_rate,tert_a_grad_rate,year,education_spending,ancillary_spending,rd_spending,total_spending,partner_country,tert_percent_gdp,tert_a_percent_gdp,tert_b_percent_gdp,all_ed_percent_gdp,population,gdp_usd,gdp_usd_capita
Russian Federation,NA,NA,2006,NA,NA,331.239586868625,4279.16734613923,1,0.00848,0.00697,0.00151,0.03872,142487259,2291243855000,16017.124233
Slovenia,0.258984531372291,0.20697670891175102,2006,6736.45005046699,25.8524083350676,1488.82614562487,8251.1286044269309,1,0.0127171602268183,NA,NA,0.0605907887350064,2008516.0000000002,51548468000,25673.49132
Australia,NA,0.4975981802299525,2007,8603.73812679045,610.295512742944,5512.40527239713,14726.4389119305,0,0.015481210939527802,0.0140810830072703,0.00140012793225749,0.0517815930645583,20827622,825575898000,39638.551627
Austria,0.0712826263498485,0.221341760831886,2007,10438.7975036272,113.659952724598,4486.75822164681,15039.2156779986,0,0.013412913128800401,0.0128831900908331,5.2972303796729e-4,0.053554170634759195,8295189.000000001,326699296000,39384.189618
Belgium,NA,NA,2007,8438.60502802698,347.516821542512,4696.10784723551,13482.229696805,0,0.0127354199782619,NA,NA,0.0610274114337527,10625701,390457716000,36745.503067
Canada,NA,0.305926270925427,2007,13572,1159,5547,20278,0,0.02617,0.016354029903132134,0.0098,0.06077,32889024.999999996,1300942608000,39555.523703
Czech Republic,0.0479421303862165,0.34948115251045103,2007,6738.12279189793,85.5318074776422,1385.68677714933,8209.34137652491,0,0.0123413926334904,0.0119306398601596,NA,0.045659093866144695,10322689,270349143999.99997,26189.798385
Denmark,0.109102335201071,0.473143889487899,2007,NA,NA,NA,16465.7382497145,0,0.017055176149247498,NA,NA,0.0709925561197238,5457415,212771394000,38969.119721
Finland,9.220033287142031e-4,0.48459426052276,2007,8178.19024350153,NA,5387.90643040211,13566.0966739036,0,0.016333410765846,0.016333410765846,NA,0.056429830257514704,5288719,199873495000,37792.556693
France,NA,NA,2007,8252.21408173483,749.075733845945,3771.27520289686,12772.5650184776,0,0.0138665477913408,0.0110553103045289,0.0028112374868118502,0.059718911614124404,63781275,2181667495999.9998,34086.956799
Germany,0.10367649360813999,0.23379220253247499,2007,7852.12447737705,681.944298897353,5288.48541586467,13822.5541921391,0,0.0106646981748335,0.00987735391874171,7.873442560918261e-4,0.0470255805807129,82266373,2981616280000,36813.713454
Greece,0.121152693632126,0.176533177563888,2007,NA,NA,NA,NA,0,NA,NA,NA,NA,11048466,323551015000,29284.612817
Hungary,0.0393358649226829,0.29426107018325803,2007,5036.97845249815,327.824960538928,1356.11665026205,6720.92006329913,0,0.00871,0.00838,NA,0.04933,10055778,191830803000,19076.670613
Iceland,0.0241554578848559,0.630611887306087,2007,NA,NA,NA,9309.34747527874,0,0.011907023506544101,NA,NA,0.0780747729728035,311567,12902915000,41435.17855
Italy,NA,0.349916837719155,2007,5220.659619170193,226.64271059346774,3226.010178584051,8673.312508347712,0,0.008849113399899829,0.008799324222733251,NA,0.044661128629036,58756247,1992732867000,33915.278166
Japan,0.277122594440485,0.3881889976375295,2007,NA,NA,NA,14201.4660625185,0,0.0147034167146246,0.012294682716397401,0.00240873399822719,0.0493159411986618,128032743.00000001,4479299619000,34999.997022
Mexico,NA,NA,2007,5861.98522421037,NA,1109.48182070784,6971.46704491822,0,0.0119551063329213,NA,NA,0.0571827826567892,108744845,1560053895000,14233.029479
Netherlands,NA,0.428291391800241,2007,10420.5161964926,NA,5547.98523106792,15968.5014275606,0,0.0148097895201061,0.0148097895201061,NA,0.0556069745197766,16381696.000000002,718924413000,43885.020938
